DateTime,open,high,low,close,Volume,Date,Time
2022-10-27 09:52:00,5.0,5.55,4.8,5.15,886200,2022-10-27,09:52:00
2022-10-27 09:53:00,5.05,5.5,4.95,5.35,514050,2022-10-27,09:53:00
2022-10-27 09:54:00,5.4,5.7,4.9,5.0,684300,2022-10-27,09:54:00
2022-10-27 09:55:00,5.0,5.65,4.9,5.3,709300,2022-10-27,09:55:00
2022-10-27 09:56:00,5.35,5.9,5.1,5.5,969400,2022-10-27,09:56:00
2022-10-27 09:57:00,5.45,6.25,5.2,5.9,904350,2022-10-27,09:57:00
2022-10-27 09:58:00,5.85,6.0,5.45,5.8,664850,2022-10-27,09:58:00
2022-10-27 09:59:00,5.8,5.95,5.5,5.7,799100,2022-10-27,09:59:00
2022-10-27 10:00:00,5.7,6.4,5.65,5.85,905750,2022-10-27,10:00:00
2022-10-27 10:01:00,5.85,5.85,4.9,4.9,1021850,2022-10-27,10:01:00
2022-10-27 10:02:00,4.85,6.05,4.85,6.0,812450,2022-10-27,10:02:00
2022-10-27 10:03:00,6.05,6.3,5.85,6.0,676000,2022-10-27,10:03:00
2022-10-27 10:04:00,5.95,6.5,5.9,6.0,883400,2022-10-27,10:04:00
2022-10-27 10:05:00,6.1,6.25,5.65,5.9,550500,2022-10-27,10:05:00
2022-10-27 10:06:00,5.9,6.0,5.7,5.85,509500,2022-10-27,10:06:00
2022-10-27 10:07:00,5.9,6.45,5.9,6.25,612000,2022-10-27,10:07:00
2022-10-27 10:08:00,6.3,6.55,5.65,5.95,871800,2022-10-27,10:08:00
2022-10-27 10:09:00,6.0,6.65,6.0,6.5,934650,2022-10-27,10:09:00
2022-10-27 10:10:00,6.5,6.7,5.85,5.9,1163000,2022-10-27,10:10:00
2022-10-27 10:11:00,5.85,5.9,5.65,5.75,819500,2022-10-27,10:11:00
2022-10-27 10:12:00,5.7,6.3,5.7,6.15,654300,2022-10-27,10:12:00
2022-10-27 10:13:00,6.15,6.5,5.95,6.15,636000,2022-10-27,10:13:00
2022-10-27 10:14:00,6.25,6.25,5.65,6.15,741900,2022-10-27,10:14:00
2022-10-27 10:15:00,6.15,6.5,6.0,6.4,636450,2022-10-27,10:15:00
2022-10-27 10:16:00,6.45,6.55,5.8,5.9,1007950,2022-10-27,10:16:00
2022-10-27 10:17:00,5.85,6.0,5.6,5.7,829400,2022-10-27,10:17:00
2022-10-27 10:18:00,5.7,5.7,4.95,5.1,1099550,2022-10-27,10:18:00
2022-10-27 10:19:00,5.15,5.7,4.85,5.4,830350,2022-10-27,10:19:00
2022-10-27 10:20:00,5.45,5.5,5.1,5.35,444350,2022-10-27,10:20:00
2022-10-27 10:21:00,5.3,5.4,5.0,5.05,727550,2022-10-27,10:21:00
2022-10-27 10:22:00,5.0,5.2,4.7,4.8,734250,2022-10-27,10:22:00
2022-10-27 10:23:00,4.8,5.15,4.75,5.05,507700,2022-10-27,10:23:00
2022-10-27 10:24:00,5.0,5.0,4.45,4.45,596700,2022-10-27,10:24:00
2022-10-27 10:25:00,4.5,4.55,4.05,4.15,669700,2022-10-27,10:25:00
2022-10-27 10:26:00,4.1,4.45,4.05,4.2,621300,2022-10-27,10:26:00
2022-10-27 10:27:00,4.2,4.45,4.05,4.3,476300,2022-10-27,10:27:00
2022-10-27 10:28:00,4.35,4.65,4.3,4.45,547550,2022-10-27,10:28:00
2022-10-27 10:29:00,4.35,4.7,4.2,4.7,390750,2022-10-27,10:29:00
2022-10-27 10:30:00,4.6,4.7,4.4,4.55,383350,2022-10-27,10:30:00
2022-10-27 10:31:00,4.55,4.75,4.55,4.55,450250,2022-10-27,10:31:00
2022-10-27 10:32:00,4.55,4.95,4.45,4.95,464050,2022-10-27,10:32:00
2022-10-27 10:33:00,4.95,5.25,4.9,5.25,548900,2022-10-27,10:33:00
2022-10-27 10:34:00,5.2,5.3,4.85,5.05,433700,2022-10-27,10:34:00
2022-10-27 10:35:00,5.05,5.35,4.95,5.2,398150,2022-10-27,10:35:00
2022-10-27 10:36:00,5.3,5.65,5.3,5.6,688300,2022-10-27,10:36:00
2022-10-27 10:37:00,5.55,5.7,5.35,5.55,556950,2022-10-27,10:37:00
2022-10-27 10:38:00,5.55,5.65,5.25,5.3,433900,2022-10-27,10:38:00
2022-10-27 10:39:00,5.3,5.3,4.95,5.2,548250,2022-10-27,10:39:00
2022-10-27 10:40:00,5.2,5.55,5.2,5.45,514700,2022-10-27,10:40:00
2022-10-27 10:41:00,5.45,5.45,5.0,5.1,438300,2022-10-27,10:41:00
2022-10-27 10:42:00,5.1,5.4,5.05,5.05,401850,2022-10-27,10:42:00
2022-10-27 10:43:00,5.1,5.2,4.65,5.2,515600,2022-10-27,10:43:00
2022-10-27 10:44:00,5.15,5.4,4.9,5.35,331000,2022-10-27,10:44:00
2022-10-27 10:45:00,5.35,5.55,5.15,5.45,562250,2022-10-27,10:45:00
2022-10-27 10:46:00,5.45,5.8,4.85,4.95,770150,2022-10-27,10:46:00
2022-10-27 10:47:00,4.95,5.15,4.9,5.1,346650,2022-10-27,10:47:00
2022-10-27 10:48:00,5.1,5.1,4.8,5.05,379950,2022-10-27,10:48:00
2022-10-27 10:49:00,5.05,5.4,4.95,5.35,376000,2022-10-27,10:49:00
2022-10-27 10:50:00,5.35,5.6,5.15,5.6,415750,2022-10-27,10:50:00
2022-10-27 10:51:00,5.5,5.65,5.3,5.35,386250,2022-10-27,10:51:00
2022-10-27 10:52:00,5.3,5.4,5.1,5.1,367650,2022-10-27,10:52:00
2022-10-27 10:53:00,5.1,5.1,4.85,5.05,357100,2022-10-27,10:53:00
2022-10-27 10:54:00,5.1,5.1,4.85,4.9,336900,2022-10-27,10:54:00
2022-10-27 10:55:00,4.85,5.0,4.65,4.8,398400,2022-10-27,10:55:00
2022-10-27 10:56:00,4.75,4.85,4.6,4.8,402050,2022-10-27,10:56:00
2022-10-27 10:57:00,4.85,4.9,4.55,4.7,324400,2022-10-27,10:57:00
2022-10-27 10:58:00,4.75,4.8,4.55,4.75,214650,2022-10-27,10:58:00
2022-10-27 10:59:00,4.7,4.9,4.65,4.8,299900,2022-10-27,10:59:00
2022-10-27 11:00:00,4.8,4.85,4.45,4.45,300700,2022-10-27,11:00:00
2022-10-27 11:01:00,4.45,4.45,4.05,4.1,645400,2022-10-27,11:01:00
