DateTime,open,high,low,close,Volume,Date,Time
2022-10-20 12:50:00,5.0,5.15,4.8,5.0,2044050,2022-10-20,12:50:00
2022-10-20 12:51:00,5.0,5.0,4.7,4.9,2221850,2022-10-20,12:51:00
2022-10-20 12:52:00,4.9,5.5,4.9,5.5,1474150,2022-10-20,12:52:00
2022-10-20 12:53:00,5.4,5.7,5.3,5.55,1041300,2022-10-20,12:53:00
2022-10-20 12:54:00,5.55,5.7,5.15,5.2,1224000,2022-10-20,12:54:00
2022-10-20 12:55:00,5.2,5.4,4.95,5.1,1339850,2022-10-20,12:55:00
2022-10-20 12:56:00,5.2,5.25,4.9,5.2,1202450,2022-10-20,12:56:00
2022-10-20 12:57:00,5.2,5.65,5.05,5.4,1084100,2022-10-20,12:57:00
2022-10-20 12:58:00,5.4,5.4,5.0,5.0,890750,2022-10-20,12:58:00
2022-10-20 12:59:00,5.0,5.0,4.75,4.95,1173750,2022-10-20,12:59:00
2022-10-20 13:00:00,4.9,5.3,4.9,5.25,1397550,2022-10-20,13:00:00
2022-10-20 13:01:00,5.2,5.25,4.6,4.8,1110200,2022-10-20,13:01:00
2022-10-20 13:02:00,4.8,4.85,4.1,4.2,1815950,2022-10-20,13:02:00
2022-10-20 13:03:00,4.2,4.25,3.6,3.7,2412150,2022-10-20,13:03:00
2022-10-20 13:04:00,3.75,3.95,3.65,3.9,2081300,2022-10-20,13:04:00
2022-10-20 13:05:00,3.85,4.15,3.75,4.15,2207300,2022-10-20,13:05:00
2022-10-20 13:06:00,4.1,4.6,4.05,4.5,1607450,2022-10-20,13:06:00
2022-10-20 13:07:00,4.45,4.85,4.45,4.6,1340600,2022-10-20,13:07:00
2022-10-20 13:08:00,4.7,5.0,4.7,4.8,1442600,2022-10-20,13:08:00
2022-10-20 13:09:00,4.75,4.85,4.7,4.85,769100,2022-10-20,13:09:00
2022-10-20 13:10:00,4.8,5.0,4.7,5.0,1286150,2022-10-20,13:10:00
2022-10-20 13:11:00,5.15,5.45,4.8,4.8,1675200,2022-10-20,13:11:00
2022-10-20 13:12:00,4.75,4.9,4.15,4.15,1382600,2022-10-20,13:12:00
2022-10-20 13:13:00,4.15,4.4,4.15,4.35,811000,2022-10-20,13:13:00
2022-10-20 13:14:00,4.3,4.55,4.2,4.2,781800,2022-10-20,13:14:00
2022-10-20 13:15:00,4.15,4.3,4.0,4.2,993650,2022-10-20,13:15:00
2022-10-20 13:16:00,4.25,4.4,4.05,4.25,739950,2022-10-20,13:16:00
2022-10-20 13:17:00,4.3,4.85,4.3,4.55,1050250,2022-10-20,13:17:00
2022-10-20 13:18:00,4.55,4.6,4.2,4.45,1105700,2022-10-20,13:18:00
2022-10-20 13:19:00,4.55,4.6,4.35,4.5,660100,2022-10-20,13:19:00
2022-10-20 13:20:00,4.75,5.0,4.5,4.55,1192950,2022-10-20,13:20:00
2022-10-20 13:21:00,4.55,4.85,4.5,4.55,764050,2022-10-20,13:21:00
2022-10-20 13:22:00,4.5,4.75,4.05,4.15,1196150,2022-10-20,13:22:00
2022-10-20 13:23:00,4.1,4.1,3.35,3.4,1015900,2022-10-20,13:23:00
2022-10-20 13:24:00,3.35,3.45,3.1,3.4,1489800,2022-10-20,13:24:00
2022-10-20 13:25:00,3.35,3.7,3.35,3.45,956200,2022-10-20,13:25:00
2022-10-20 13:26:00,3.4,3.8,3.4,3.75,676950,2022-10-20,13:26:00
2022-10-20 13:27:00,3.75,3.9,3.2,3.2,788200,2022-10-20,13:27:00
2022-10-20 13:28:00,3.2,3.65,3.2,3.5,747000,2022-10-20,13:28:00
2022-10-20 13:29:00,3.55,3.65,3.35,3.55,631200,2022-10-20,13:29:00
2022-10-20 13:30:00,3.55,3.8,3.45,3.7,877800,2022-10-20,13:30:00
2022-10-20 13:31:00,3.85,4.0,3.65,3.7,926900,2022-10-20,13:31:00
2022-10-20 13:32:00,3.75,3.9,3.5,3.5,622500,2022-10-20,13:32:00
2022-10-20 13:33:00,3.6,3.9,3.5,3.85,703150,2022-10-20,13:33:00
2022-10-20 13:34:00,3.9,4.05,3.65,3.75,761150,2022-10-20,13:34:00
2022-10-20 13:35:00,3.75,3.8,3.55,3.55,861100,2022-10-20,13:35:00
2022-10-20 13:36:00,3.55,3.8,3.55,3.65,798350,2022-10-20,13:36:00
2022-10-20 13:37:00,3.7,4.4,3.7,4.35,1153000,2022-10-20,13:37:00
2022-10-20 13:38:00,4.2,5.25,4.15,4.75,1636850,2022-10-20,13:38:00
2022-10-20 13:39:00,4.8,5.45,4.8,5.3,1681700,2022-10-20,13:39:00
2022-10-20 13:40:00,5.3,5.5,4.6,5.05,1748450,2022-10-20,13:40:00
2022-10-20 13:41:00,5.1,5.4,5.05,5.15,1068550,2022-10-20,13:41:00
2022-10-20 13:42:00,5.15,5.95,5.15,5.4,1919500,2022-10-20,13:42:00
2022-10-20 13:43:00,5.4,5.5,5.0,5.2,1235150,2022-10-20,13:43:00
2022-10-20 13:44:00,5.25,5.65,5.2,5.4,1160250,2022-10-20,13:44:00
2022-10-20 13:45:00,5.4,5.45,3.9,3.9,1878400,2022-10-20,13:45:00
2022-10-20 13:46:00,3.95,4.1,3.4,3.45,1244300,2022-10-20,13:46:00
2022-10-20 13:47:00,3.5,4.0,3.4,3.65,1192700,2022-10-20,13:47:00
2022-10-20 13:48:00,3.7,3.9,3.45,3.8,1241000,2022-10-20,13:48:00
2022-10-20 13:49:00,3.75,4.0,3.65,3.7,1269500,2022-10-20,13:49:00
2022-10-20 13:50:00,3.75,4.05,3.7,4.05,859000,2022-10-20,13:50:00
2022-10-20 13:51:00,4.25,4.5,3.75,3.8,1951850,2022-10-20,13:51:00
2022-10-20 13:52:00,3.95,4.05,3.55,3.6,1154800,2022-10-20,13:52:00
2022-10-20 13:53:00,3.8,3.9,3.6,3.8,986000,2022-10-20,13:53:00
2022-10-20 13:54:00,4.0,4.35,3.7,4.35,1241000,2022-10-20,13:54:00
2022-10-20 13:55:00,4.4,4.4,3.85,4.0,1420550,2022-10-20,13:55:00
2022-10-20 13:56:00,4.1,4.55,4.05,4.45,1310050,2022-10-20,13:56:00
2022-10-20 13:57:00,4.35,4.35,4.0,4.25,1198050,2022-10-20,13:57:00
2022-10-20 13:58:00,4.2,4.55,4.05,4.05,1464100,2022-10-20,13:58:00
2022-10-20 13:59:00,4.05,4.15,3.15,3.4,2050750,2022-10-20,13:59:00
2022-10-20 14:00:00,3.5,4.1,3.45,4.05,1718250,2022-10-20,14:00:00
