DateTime,open,high,low,close,Volume,Date,Time
2022-10-20 11:33:00,10.0,10.35,9.45,10.1,64275,2022-10-20,11:33:00
2022-10-20 11:34:00,9.95,10.0,9.15,9.75,68625,2022-10-20,11:34:00
2022-10-20 11:35:00,10.0,10.2,9.05,9.45,68100,2022-10-20,11:35:00
2022-10-20 11:36:00,9.3,9.65,8.7,9.35,95575,2022-10-20,11:36:00
2022-10-20 11:37:00,9.05,9.95,8.75,9.8,68900,2022-10-20,11:37:00
2022-10-20 11:38:00,9.75,10.8,9.3,9.4,89825,2022-10-20,11:38:00
2022-10-20 11:39:00,9.35,10.3,8.9,9.7,147225,2022-10-20,11:39:00
2022-10-20 11:40:00,9.85,10.25,9.15,9.7,78400,2022-10-20,11:40:00
2022-10-20 11:41:00,9.8,10.4,9.25,10.4,79100,2022-10-20,11:41:00
2022-10-20 11:42:00,10.55,11.0,8.8,9.2,142875,2022-10-20,11:42:00
2022-10-20 11:43:00,9.35,9.7,8.4,8.65,167350,2022-10-20,11:43:00
2022-10-20 11:44:00,8.5,9.95,8.5,8.5,236700,2022-10-20,11:44:00
2022-10-20 11:45:00,8.45,9.35,8.35,9.1,118125,2022-10-20,11:45:00
2022-10-20 11:46:00,9.25,9.3,8.7,8.75,174650,2022-10-20,11:46:00
2022-10-20 11:47:00,8.8,9.25,8.75,8.95,123125,2022-10-20,11:47:00
2022-10-20 11:48:00,8.95,9.1,8.4,8.65,139175,2022-10-20,11:48:00
2022-10-20 11:49:00,8.75,9.6,8.7,9.35,84950,2022-10-20,11:49:00
2022-10-20 11:50:00,9.45,10.0,9.25,9.25,92100,2022-10-20,11:50:00
2022-10-20 11:51:00,9.3,9.9,8.8,9.85,93550,2022-10-20,11:51:00
2022-10-20 11:52:00,9.95,10.4,8.4,8.75,153900,2022-10-20,11:52:00
2022-10-20 11:53:00,8.8,9.75,8.4,9.6,139975,2022-10-20,11:53:00
2022-10-20 11:54:00,9.55,9.9,8.55,8.65,158050,2022-10-20,11:54:00
2022-10-20 11:55:00,8.8,9.35,8.45,8.5,135175,2022-10-20,11:55:00
2022-10-20 11:56:00,8.75,9.25,8.45,8.7,120600,2022-10-20,11:56:00
2022-10-20 11:57:00,8.6,8.8,7.55,7.65,280075,2022-10-20,11:57:00
2022-10-20 11:58:00,7.5,7.5,6.65,7.25,388275,2022-10-20,11:58:00
2022-10-20 11:59:00,7.3,8.15,7.15,7.65,204025,2022-10-20,11:59:00
2022-10-20 12:00:00,7.7,8.05,7.6,7.95,119375,2022-10-20,12:00:00
