DateTime,open,high,low,close,Volume,Date,Time
2022-10-13 12:50:00,10.0,11.7,10.0,11.1,342275,2022-10-13,12:50:00
2022-10-13 12:51:00,11.25,11.65,9.6,9.8,256750,2022-10-13,12:51:00
2022-10-13 12:52:00,9.9,10.7,8.55,9.0,297450,2022-10-13,12:52:00
2022-10-13 12:53:00,9.2,9.2,7.3,7.65,273675,2022-10-13,12:53:00
2022-10-13 12:54:00,7.45,8.35,6.8,8.15,239650,2022-10-13,12:54:00
2022-10-13 12:55:00,8.1,9.95,8.1,9.85,208000,2022-10-13,12:55:00
2022-10-13 12:56:00,9.85,9.95,8.75,9.25,184525,2022-10-13,12:56:00
2022-10-13 12:57:00,9.1,10.05,8.95,10.05,184500,2022-10-13,12:57:00
2022-10-13 12:58:00,10.15,11.75,10.15,10.65,338500,2022-10-13,12:58:00
2022-10-13 12:59:00,10.75,10.95,9.65,10.1,265025,2022-10-13,12:59:00
2022-10-13 13:00:00,9.9,10.65,7.7,7.8,382875,2022-10-13,13:00:00
2022-10-13 13:01:00,7.95,8.0,7.0,7.75,365975,2022-10-13,13:01:00
2022-10-13 13:02:00,7.65,9.0,7.65,8.75,219325,2022-10-13,13:02:00
2022-10-13 13:03:00,8.7,8.75,8.1,8.3,173400,2022-10-13,13:03:00
2022-10-13 13:04:00,8.35,8.35,7.5,7.8,201550,2022-10-13,13:04:00
2022-10-13 13:05:00,8.2,8.6,7.15,7.5,293075,2022-10-13,13:05:00
2022-10-13 13:06:00,7.3,7.7,7.05,7.65,381425,2022-10-13,13:06:00
2022-10-13 13:07:00,7.6,7.6,6.85,6.85,239850,2022-10-13,13:07:00
2022-10-13 13:08:00,6.9,7.05,6.5,7.05,326075,2022-10-13,13:08:00
2022-10-13 13:09:00,7.1,7.1,5.95,6.2,358050,2022-10-13,13:09:00
2022-10-13 13:10:00,6.2,6.55,5.35,6.45,502000,2022-10-13,13:10:00
2022-10-13 13:11:00,6.5,6.6,6.2,6.3,277825,2022-10-13,13:11:00
2022-10-13 13:12:00,6.2,7.75,6.15,7.7,462300,2022-10-13,13:12:00
2022-10-13 13:13:00,7.8,8.85,7.5,8.35,377425,2022-10-13,13:13:00
2022-10-13 13:14:00,8.05,8.2,6.65,7.0,306725,2022-10-13,13:14:00
2022-10-13 13:15:00,7.05,8.4,6.85,7.8,270175,2022-10-13,13:15:00
2022-10-13 13:16:00,7.7,7.7,6.6,6.85,236700,2022-10-13,13:16:00
2022-10-13 13:17:00,6.8,6.9,6.05,6.4,236225,2022-10-13,13:17:00
2022-10-13 13:18:00,6.45,6.5,6.1,6.2,261325,2022-10-13,13:18:00
2022-10-13 13:19:00,6.25,6.25,5.55,6.0,298425,2022-10-13,13:19:00
2022-10-13 13:20:00,6.1,6.75,5.8,6.7,219625,2022-10-13,13:20:00
2022-10-13 13:21:00,6.75,7.05,6.45,6.5,228475,2022-10-13,13:21:00
2022-10-13 13:22:00,6.55,6.6,6.0,6.35,177650,2022-10-13,13:22:00
2022-10-13 13:23:00,6.45,6.45,5.55,5.65,186775,2022-10-13,13:23:00
2022-10-13 13:24:00,5.65,6.1,5.45,5.85,245650,2022-10-13,13:24:00
2022-10-13 13:25:00,5.8,7.7,5.8,6.5,445950,2022-10-13,13:25:00
2022-10-13 13:26:00,6.75,6.95,6.1,6.95,247100,2022-10-13,13:26:00
2022-10-13 13:27:00,7.0,7.05,5.75,6.1,307350,2022-10-13,13:27:00
2022-10-13 13:28:00,6.05,6.15,5.5,5.75,193200,2022-10-13,13:28:00
