Date,Time,Open,High,Low,Close,BuyPrice,SellPrice,Future Strike
2022-06-10,09:20:00,39672.0,39840.8,39418.0,39782.0,39662.4,39673.55,39800.0
2022-06-10,09:40:00,39495.0,39825.3,39440.45,39772.0,39496.9,39498.95,39800.0
2022-06-10,09:50:00,39499.0,39855.0,39490.45,39855.0,39496.75,39500.0,39900.0
2022-06-10,09:55:00,39543.95,39865.0,39527.15,39865.0,39542.0,39543.95,39900.0
2022-06-10,10:00:00,39566.55,39924.95,39566.55,39924.95,39561.15,39566.45,39900.0
2022-06-10,10:05:00,39620.0,39924.95,39590.0,39911.25,39616.45,39620.45,39900.0
2022-06-10,10:20:00,39612.55,39907.0,39580.0,39872.05,39612.25,39615.0,39900.0
2022-06-10,10:25:00,39580.45,39900.0,39569.2,39876.1,39582.65,39584.0,39900.0
2022-06-10,10:35:00,39907.0,39907.0,39541.0,39850.0,39864.25,39873.05,39800.0
2022-06-10,10:40:00,39557.8,39880.3,39553.65,39868.6,39557.75,39559.0,39900.0
2022-06-10,10:55:00,39575.05,39892.0,39563.15,39883.6,39575.15,39579.0,39900.0
2022-06-10,11:00:00,39745.0,39933.3,39594.0,39932.5,39740.25,39748.05,39900.0
2022-06-10,11:05:00,39783.15,39938.4,39612.15,39930.0,39783.1,39789.0,39900.0
2022-06-10,11:10:00,39613.5,39930.0,39570.2,39886.25,39613.75,39617.0,39900.0
2022-06-10,11:15:00,39575.5,39886.25,39564.3,39879.0,39570.0,39575.5,39900.0
2022-06-10,11:25:00,39568.0,39865.5,39511.0,39848.65,39565.7,39568.0,39800.0
2022-06-10,11:35:00,39538.95,39850.0,39526.95,39850.0,39538.35,39539.0,39800.0
2022-06-10,11:50:00,39534.1,39860.0,39530.0,39853.95,39534.55,39538.0,39900.0
2022-06-10,11:55:00,39548.25,39853.95,39520.15,39853.95,39548.4,39550.0,39900.0
2022-06-10,12:05:00,39549.35,39858.4,39537.75,39852.0,39540.95,39541.55,39900.0
2022-06-10,12:10:00,39694.3,39852.0,39526.15,39852.0,39685.05,39693.9,39900.0
2022-06-10,12:15:00,39852.0,39900.0,39578.05,39900.0,39873.75,39886.55,39900.0
2022-06-10,12:20:00,39614.95,39900.0,39573.3,39898.85,39611.4,39614.9,39900.0
2022-06-10,12:45:00,39593.4,39970.0,39593.4,39967.9,39590.75,39594.0,40000.0
2022-06-10,12:55:00,39980.0,40044.0,39676.65,40044.0,39974.6,39980.0,40000.0
2022-06-10,13:00:00,39750.0,40044.0,39700.6,40012.0,39744.25,39749.95,40000.0
2022-06-10,13:05:00,39721.6,40013.2,39671.2,39980.1,39715.5,39721.9,40000.0
2022-06-10,13:10:00,39685.95,40007.75,39682.4,40007.7,39681.5,39681.75,40000.0
2022-06-10,13:30:00,40000.0,40000.0,39662.8,39990.0,39985.65,39996.4,40000.0
2022-06-10,13:35:00,39696.3,40005.0,39680.6,40000.0,39690.75,39695.2,40000.0
2022-06-10,13:45:00,39830.0,39997.7,39660.0,39967.7,39827.2,39835.0,40000.0
2022-06-10,14:00:00,39594.65,39932.3,39585.0,39932.3,39590.6,39593.55,39900.0
2022-06-10,14:05:00,39585.45,39932.3,39550.0,39860.0,39584.0,39585.4,39900.0
2022-06-10,14:25:00,39630.0,39789.3,39455.0,39789.3,39640.15,39647.35,39800.0
2022-06-10,14:40:00,39405.0,39724.0,39366.15,39713.9,39402.1,39406.45,39700.0
2022-06-10,14:50:00,39413.05,39740.0,39394.1,39740.0,39413.75,39415.9,39700.0
2022-06-10,14:55:00,39598.0,39765.0,39425.0,39765.0,39595.6,39600.0,39800.0
2022-06-10,15:05:00,39426.85,39736.85,39351.3,39684.05,39427.7,39427.8,39700.0
2022-06-10,15:10:00,39363.85,39716.3,39352.95,39687.0,39363.05,39368.8,39700.0
2022-06-10,15:20:00,39371.65,39683.2,39358.25,39670.0,39371.65,39375.0,39700.0
2022-06-10,15:25:00,39358.85,39670.0,39340.1,39650.0,39356.35,39360.05,39600.0
2022-06-10,15:30:00,39355.0,39650.0,39355.0,39650.0,39349.95,39355.0,39600.0
