DateTime,open,high,low,close,Volume,Date,Time
2022-10-27 13:37:00,10.0,13.2,10.0,13.2,904000,2022-10-27,13:37:00
2022-10-27 13:38:00,13.1,14.4,12.95,13.9,650075,2022-10-27,13:38:00
2022-10-27 13:39:00,13.85,14.45,13.4,14.45,510150,2022-10-27,13:39:00
2022-10-27 13:40:00,14.15,16.3,13.6,16.15,717925,2022-10-27,13:40:00
2022-10-27 13:41:00,16.05,16.05,14.5,14.5,856925,2022-10-27,13:41:00
2022-10-27 13:42:00,14.15,14.45,12.7,13.45,530675,2022-10-27,13:42:00
2022-10-27 13:43:00,13.65,14.45,13.2,14.1,393025,2022-10-27,13:43:00
2022-10-27 13:44:00,14.3,14.3,12.3,12.35,416200,2022-10-27,13:44:00
2022-10-27 13:45:00,12.4,12.7,10.85,10.95,595000,2022-10-27,13:45:00
2022-10-27 13:46:00,10.95,11.1,10.05,10.4,772475,2022-10-27,13:46:00
2022-10-27 13:47:00,10.3,12.05,10.3,11.25,599700,2022-10-27,13:47:00
2022-10-27 13:48:00,11.2,12.3,10.5,11.9,361900,2022-10-27,13:48:00
2022-10-27 13:49:00,11.75,12.4,11.15,11.7,271775,2022-10-27,13:49:00
2022-10-27 13:50:00,11.65,12.85,11.65,12.5,328875,2022-10-27,13:50:00
2022-10-27 13:51:00,12.7,14.1,12.5,13.9,519775,2022-10-27,13:51:00
2022-10-27 13:52:00,13.75,16.3,13.75,16.3,565350,2022-10-27,13:52:00
2022-10-27 13:53:00,16.1,17.9,15.75,17.4,842975,2022-10-27,13:53:00
2022-10-27 13:54:00,17.5,17.95,15.25,17.95,654250,2022-10-27,13:54:00
2022-10-27 13:55:00,17.3,19.8,16.2,16.3,912375,2022-10-27,13:55:00
2022-10-27 13:56:00,16.2,17.2,13.05,14.1,771725,2022-10-27,13:56:00
2022-10-27 13:57:00,13.75,15.1,12.2,15.1,592575,2022-10-27,13:57:00
2022-10-27 13:58:00,15.25,15.3,14.0,14.25,382850,2022-10-27,13:58:00
2022-10-27 13:59:00,14.35,14.65,13.15,14.15,471825,2022-10-27,13:59:00
2022-10-27 14:00:00,14.0,14.0,12.8,13.15,464700,2022-10-27,14:00:00
2022-10-27 14:01:00,13.1,13.65,12.65,12.65,347625,2022-10-27,14:01:00
2022-10-27 14:02:00,12.35,13.2,11.95,12.45,414875,2022-10-27,14:02:00
2022-10-27 14:03:00,12.3,12.35,9.8,11.7,820625,2022-10-27,14:03:00
2022-10-27 14:04:00,11.65,12.1,11.4,11.7,502475,2022-10-27,14:04:00
2022-10-27 14:05:00,11.7,11.8,11.2,11.7,374750,2022-10-27,14:05:00
2022-10-27 14:06:00,11.65,11.7,9.05,9.85,698950,2022-10-27,14:06:00
2022-10-27 14:07:00,9.95,9.95,6.3,6.5,1510075,2022-10-27,14:07:00
2022-10-27 14:08:00,6.55,6.55,5.45,5.55,1233100,2022-10-27,14:08:00
2022-10-27 14:09:00,5.6,7.1,5.3,7.1,1041125,2022-10-27,14:09:00
2022-10-27 14:10:00,7.2,7.65,6.7,7.2,659625,2022-10-27,14:10:00
2022-10-27 14:11:00,7.25,8.3,7.1,8.3,529650,2022-10-27,14:11:00
2022-10-27 14:12:00,8.3,8.75,8.05,8.5,481550,2022-10-27,14:12:00
